날짜,VS,결과,점수,평균 평점,슈팅,유효슈팅,점유율,패스성공률,인터셉트,태클 성공,공중볼 경합 성공률,세이브,프리킥,코너킥,파울,경고,퇴장
2022년 9월 18일,김천 상무 프로축구단,L,0:01,6.5,8,5,38.2,82.2,23,28,54.8,5,14,9,12,1,0
2022년 9월 14일,울산현대축구단,D,0:00,6.5,5,0,32.8,74.2,34,25,38.2,4,10,2,12,2,0
2022년 9월 11일,수원삼성 블루윙즈,D,3:03,6.7,12,6,55,86.4,23,16,31.9,4,6,5,8,2,0
2022년 9월 6일,제주 유나이티드,W,1:00,7.1,7,4,33.7,75.2,34,12,50,7,10,2,18,3,0
2022년 9월 2일,강원FC,L,0:01,6.5,13,2,52.1,83.4,33,27,40,1,17,8,11,3,0
2022년 8월 27일,FC서울,W,2:00,7.3,7,3,29.8,78.9,38,43,38.5,4,12,1,12,1,0
2022년 8월 20일,포항 스틸러스,D,1:01,6.6,9,1,32.6,73.4,34,13,50,1,15,3,13,1,0
2022년 8월 13일,전북 현대 모터스,W,3:01,7,18,6,28.5,73.5,25,18,52.6,3,13,6,5,2,0
2022년 8월 7일,대구FC,W,3:02,7.2,13,4,54,89.9,22,19,65.6,1,20,3,12,5,0
2022년 8월 3일,수원FC,D,1:01,6.7,18,7,51.9,90.6,25,19,66.7,3,10,5,12,0,0
2022년 7월 30일,성남FC,L,1:03,6.4,11,2,42.5,84,26,25,38.5,9,9,4,10,1,0
2022년 7월 16일,김천 상무 프로축구단,W,1:00,6.9,7,4,40.8,84.1,33,21,55,3,7,5,19,2,0
2022년 7월 9일,전북 현대 모터스,D,2:02,6.8,17,4,46.8,90.2,25,27,57.1,7,8,4,9,1,0
2022년 7월 6일,수원FC,L,0:01,6.6,11,4,55.1,87,31,17,56.4,3,12,6,4,1,0
2022년 7월 3일,수원삼성 블루윙즈,D,0:00,6.6,14,3,50.5,84.6,27,16,41,2,7,6,12,2,0
2022년 6월 25일,FC서울,D,1:01,6.7,9,4,36.1,79.4,31,29,46.4,6,18,5,14,2,0
2022년 6월 22일,강원FC,W,4:01,7.4,7,4,47.7,84.9,31,19,59,4,10,1,15,2,0
2022년 6월 18일,제주 유나이티드,L,1:02,6.6,10,4,42.4,77.6,34,37,48.2,4,8,1,12,2,0
2022년 5월 29일,성남FC,W,1:00,7.1,11,2,54.1,81.7,31,27,54.3,5,19,7,16,3,0
2022년 5월 21일,포항 스틸러스,L,0:02,6.6,10,1,54.6,83.8,22,22,56.6,6,16,5,8,0,0
2022년 5월 17일,대구FC,D,2:02,6.9,8,4,61.8,78.6,41,36,40.8,3,16,5,9,0,0
2022년 5월 14일,울산현대축구단,D,2:02,6.9,6,2,24.8,71.5,25,17,43.1,3,4,1,14,1,0
2022년 5월 8일,전북 현대 모터스,L,0:01,6.5,11,1,40.9,78.5,25,18,45.8,3,12,2,7,1,0
2022년 5월 5일,수원FC,D,2:02,7,12,5,54.3,80.5,31,16,58.2,3,8,7,12,0,0
2022년 4월 10일,제주 유나이티드,D,2:02,6.8,6,2,41.2,81.4,34,7,62.3,4,8,2,14,0,1
2022년 4월 5일,대구FC,W,2:01,7,7,3,46.9,81.4,31,29,54,3,16,6,10,1,1
2022년 4월 2일,울산현대축구단,D,1:01,6.8,12,5,34.3,75.9,50,39,45.2,4,14,4,12,2,0
2022년 3월 20일,성남FC,W,1:00,6.9,5,2,40.4,83.3,26,30,59.4,1,20,1,19,3,1
2022년 3월 13일,김천 상무 프로축구단,W,1:00,7,11,2,25.6,72.4,41,32,52.3,5,16,2,12,1,0
2022년 3월 5일,포항 스틸러스,L,0:01,6.4,5,0,58.1,79.2,51,22,40.7,2,10,7,10,2,0
2022년 3월 1일,강원FC,W,1:00,7,10,6,50.2,78,61,15,47.9,1,12,4,13,5,0
2022년 2월 26일,FC서울,D,1:01,6.7,11,5,31.2,71.1,25,29,50,1,13,4,10,3,0
2022년 2월 19일,수원삼성 블루윙즈,W,1:00,7.2,17,6,67.9,87.3,43,34,55.9,1,9,5,15,1,0